txn_id,date_clean,description,amount_clean,txn_type
TXN00367,2025-02-05,FLIPKART*ORDER1828,-3302.65,debit
TXN00368,2025-01-01,BBPS-ELECTRICITY-5506,-420.72,debit
TXN00369,2025-02-02,UPI-DMART-8062@okicici,-866.75,debit
TXN00370,2025-03-28,UPI-BLINKIT-5543@ybl,-430.78,debit
TXN00371,2025-04-20,STARBUCKS COFFEE #3979,-987.16,debit
TXN00372,2025-01-22,SWIGGY*ORD5315 BANGALORE,-1103.68,debit
TXN00373,2025-06-23,METRO RECHARGE CARD 9850,-490.05,debit
TXN00374,2025-06-15,NEFT-RENT-LANDLORD-6061,-21511.76,debit
TXN00375,2025-02-03,UPI-BLINKIT-9786@ybl,-3023.64,debit
TXN00376,2025-01-14,UPI-BOOKMYSHOW-8573@okhdfc,-589.0,debit
TXN00377,2025-04-06,POS 7719 BARBEQUE NATION,-523.9,debit
TXN00378,2025-06-16,UPI-HPCLPETROL-3877@paytm,-852.07,debit
TXN00379,2025-02-21,UPI-DMART-3546@okicici,-622.49,debit
TXN00380,2025-04-17,POS 8842 PVR CINEMAS,-307.81,debit
TXN00381,2025-02-02,POS 3320 SPENCERS RETAIL,-377.81,debit
TXN00382,2025-01-15,UPI-BYJUS-4752@okaxis,-11679.02,debit
TXN00383,2025-04-11,POS 3320 SPENCERS RETAIL,-793.96,debit
TXN00384,2025-04-01,DECATHLON SPORTS 2020,-2465.92,debit
