txn_id,date,description,true_category,amount
TXN00314,10-06-2025,ZOMATO ONLINE ORDER 7267,Food & Dining,-1065.44
TXN00315,05-03-2025,IMPS-TO-MOM-3900,Income & Transfers,"Rs. -45,809.88"
TXN00316,13-01-2025,STEAM GAMES PURCHASE 2169,Entertainment,-306.42
TXN00317,07-02-2025,UPI-BLINKIT-1958@ybl,Groceries,"Rs. -2,190.67"
TXN00318,12-03-2025,UPI-P2M-9346@ybl,Shopping,"Rs. -5,831.32"
TXN00319,23-04-2025,UPI-SPLITWISE-SETTLE-6419@okaxis,Income & Transfers,-7237.66
TXN00320,16-04-2025,UPI-TUITIONFEE-2729@ybl,Education,-11340.34
TXN00321,20-05-2025,POS 2210 LIFESTYLE STORE,Shopping,-1638.77
TXN00322,10-03-2025,UPI-DMART-7267@okicici,Groceries,-2086.89
TXN00323,18-01-2025,IRCTC WEB 9348,Transport,Rs. -811.68
TXN00324,21-06-2025,UPI-DTHRECHARGE-5951@paytm,Bills & Utilities,-2480.08
TXN00325,02-01-2025,BIGBASKET.COM 4257,Groceries,-1273.58
TXN00326,11-01-2025,UPI-NYKAA-3664@ybl,Shopping,"Rs. -4,724.57"
TXN00327,20-04-2025,UPI-NYKAA-5232@ybl,Shopping,"Rs. -1,683.81"
TXN00328,06-06-2025,MORE SUPERMARKET 4727,Groceries,-1492.60
TXN00329,21-03-2025,POS 6631 CROMA ELECTRONICS,Shopping,-1123.29
TXN00330,21-04-2025,UPI-DTHRECHARGE-8342@paytm,Bills & Utilities,"Rs. -2,122.38"
TXN00331,03-05-2025,SWIGGY*ORD3485 BANGALORE,Food & Dining,-176.66
TXN00332,13-06-2025,BIGBASKET.COM 9138,Groceries,-446.37
TXN00333,21-03-2025,UPI-ZEPTO-2530@okaxis,Groceries,"Rs. -2,449.44"
TXN00334,03-06-2025,UPI-UNACADEMY-9742@paytm,Education,-8911.25
TXN00335,21-05-2025,NEFT-SALARY-CREDIT-8560,Income & Transfers,"Rs. 56,683.86"
TXN00336,25-04-2025,IRCTC WEB 4138,Transport,-388.44
TXN00337,06-01-2025,UPI-REFUND-AMAZON-2674@ybl,Income & Transfers,26689.07
TXN00338,17-05-2025,BBPS-WATERBOARD-1601,Bills & Utilities,-485.52
TXN00339,03-02-2025,STARBUCKS COFFEE #2790,Food & Dining,Rs. -459.17
TXN00340,06-05-2025,IMPS-MAINTENANCE-SOC-8025,Rent & Housing,"Rs. -22,546.84"
TXN00341,15-02-2025,UPI-ZEPTO-4910@okaxis,Groceries,-1092.74
TXN00342,10-04-2025,NETFLIX.COM 6733,Entertainment,-527.97
TXN00343,08-05-2025,POS 7719 BARBEQUE NATION,Food & Dining,-422.39
TXN00344,13-06-2025,NEFT-FREELANCE-PAYMENT-7484,Income & Transfers,
TXN00345,29-06-2025,POS 9001 INDIAN OIL PETROL,Transport,Rs. -497.44
TXN00346,11-04-2025,FORTIS HOSPITAL BILLDESK 3496,Healthcare,"Rs. -1,514.29"
TXN00347,14-06-2025,UPI-BLINKIT-5106@ybl,Groceries,-2765.30
TXN00348,14-03-2025,UPI-JIOPREPAID-7311@okaxis,Bills & Utilities,-1962.05
TXN00349,10-05-2025,POS 8842 PVR CINEMAS,Entertainment,Rs. -808.03
TXN00350,20-01-2025,BIGBASKET.COM 2876,Groceries,-1463.61
TXN00351,14-04-2025,SWIGGY*ORD6111 BANGALORE,Food & Dining,-1135.26
TXN00352,19-06-2025,POS 2210 LIFESTYLE STORE,Shopping,-4239.17
TXN00353,21-05-2025,FLIPKART*ORDER4681,Shopping,-2065.15
TXN00354,08-04-2025,UPI-NYKAA-7211@ybl,Shopping,-2698.22
TXN00355,06-05-2025,UPI-1MG-8381@ybl,Healthcare,"Rs. -1,291.54"
TXN00356,02-03-2025,POS 1000 SERVICES PVT LTD,Bills & Utilities,"Rs. -3,640.45"
TXN00357,06-04-2025,POS 4470 GAMEZONE ARCADE,Entertainment,Rs. -533.10
TXN00358,21-03-2025,UPI-DIAGNOSTICLAB-4848@paytm,Healthcare,"Rs. -1,855.00"
TXN00359,31-05-2025,UPI-TUITIONFEE-2633@ybl,Education,"Rs. -3,203.35"
TXN00360,09-06-2025,UPI-HPCLPETROL-3385@paytm,Transport,-727.81
TXN00361,09-04-2025,UPI-1MG-1317@ybl,Healthcare,-1363.72
TXN00362,24-01-2025,FLIPKART*ORDER5889,Shopping,-2459.59
TXN00363,17-05-2025,POS 0092 GENERAL STORE,Groceries,-1139.24
TXN00364,03-01-2025,PARKPLUS TOLL 5557,Transport,Rs. -361.41
TXN00365,05-05-2025,DECATHLON SPORTS 4697,Shopping,"Rs. -4,879.53"
TXN00366,30-05-2025,UPI-REFUND-AMAZON-2644@ybl,Income & Transfers,31004.97
TXN00367,05-02-2025,FLIPKART*ORDER1828,Shopping,"Rs. -3,302.65"
TXN00368,01-01-2025,BBPS-ELECTRICITY-5506,Bills & Utilities,-420.72
TXN00369,02-02-2025,UPI-DMART-8062@okicici,Groceries,-866.75
TXN00370,28-03-2025,UPI-BLINKIT-5543@ybl,Groceries,Rs. -430.78
TXN00371,20-04-2025,STARBUCKS COFFEE #3979,Food & Dining,Rs. -987.16
TXN00372,22-01-2025,SWIGGY*ORD5315 BANGALORE,Food & Dining,"Rs. -1,103.68"
TXN00373,23-06-2025,METRO RECHARGE CARD 9850,Transport,-490.05
TXN00374,15-06-2025,NEFT-RENT-LANDLORD-6061,Rent & Housing,"Rs. -21,511.76"
TXN00375,03-02-2025,UPI-BLINKIT-9786@ybl,Groceries,-3023.64
TXN00376,14-01-2025,UPI-BOOKMYSHOW-8573@okhdfc,Entertainment,-589.00
TXN00377,06-04-2025,POS 7719 BARBEQUE NATION,Food & Dining,Rs. -523.90
TXN00378,16-06-2025,UPI-HPCLPETROL-3877@paytm,Transport,-852.07
TXN00379,21-02-2025,UPI-DMART-3546@okicici,Groceries,-622.49
TXN00380,17-04-2025,POS 8842 PVR CINEMAS,Entertainment,-307.81
TXN00381,02-02-2025,POS 3320 SPENCERS RETAIL,Groceries,-377.81
TXN00382,15-01-2025,UPI-BYJUS-4752@okaxis,Education,-11679.02
TXN00383,11-04-2025,POS 3320 SPENCERS RETAIL,Groceries,-793.96
TXN00384,01-04-2025,DECATHLON SPORTS 2020,Shopping,-2465.92
